"Fund","Scheme","Category","Sub Category","Rating","Units Held","Average Cost Price","Value At Cost","Last Recorded NAV On","Last Recorded NAV","Value at NAV","Realized Profit/Loss","Profit/ Loss","Profit/ Loss %","Research Recommends"
"BANDHAN MUTUAL FUND","Bandhan Large Cap Fund - Regular Plan - Growth","Equity","Large Cap Fund","4","931.8920","52.77","49177.47","23-Jan-2026","76.689","71,465.87","0.00","22288.39","45.32","Gold"
"SBI FUNDS MANAGEMENT PVT LTD","SBI Elss Tax Saver Fund - Growth","Equity","Tax Planning","5","156.8090","408.12","63996.61","23-Jan-2026","434.106","68,071.73","0.00","4075.11","6.37","Silver"
"MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED","Motilal Oswal Midcap Fund - Regular Growth","Equity","Mid Cap Fund","5","716.9580","75.53","54150.90","23-Jan-2026","91.5177","65,614.35","0.00","11463.45","21.17","Bronze"
"UTI MUTUAL FUND","UTI Value Fund -Regular Plan-Growth","Equity","Value Fund","3","372.9600","109.99","41021.09","23-Jan-2026","167.6028","62,509.14","27082.78","21488.05","52.38","Silver"
"UTI MUTUAL FUND","UTI Nifty 50 Index Fund - Growth","Others","Index Fund","4","345.5910","159.14","54997.27","23-Jan-2026","172.5453","59,630.10","0.00","4632.83","8.42","N/A"
"BANDHAN MUTUAL FUND","Bandhan Small cap Fund Regular Plan-Growth","Equity","Small Cap Fund","0","1326.4550","42.22","55997.20","23-Jan-2026","43.454","57,639.78","0.00","1642.57","2.93","N/A"
"ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LTD","Aditya Birla Sun Life Small Cap Fund - Growth","Equity","Small Cap Fund","1","606.6370","59.71","36219.30","23-Jan-2026","79.065","47,963.75","0.00","11744.45","32.43","Bronze"
"AXIS ASSET MANAGEMENT COMPANY LIMITED","AXIS LARGE CAP FUND - Growth","Equity","Large Cap Fund","1","743.2770","45.45","33778.32","23-Jan-2026","59.67","44,351.34","0.00","10573.02","31.30","Silver"
"PPFAS ASSET MANAGEMENT PRIVATE LIMITED","Parag Parikh Flexi Cap Fund - Growth","Equity","Flexi Cap","5","497.5260","83.20","41394.92","23-Jan-2026","84.9997","42,289.56","2218.00","894.64","2.16","Gold"
"AXIS ASSET MANAGEMENT COMPANY LIMITED","Axis Small Cap Fund - Growth Plan","Equity","Small Cap Fund","0","372.1320","89.44","33285.22","23-Jan-2026","98.13","36,517.31","75242.96","3232.10","9.71","Silver"
"ICICI PRUDENTIAL MUTUAL FUND","ICICI Prudential Smallcap Fund - Growth","Equity","Small Cap Fund","3","437.1020","57.68","25213.97","23-Jan-2026","80.90","35,361.55","0.00","10147.58","40.25","Gold"
"FRANKLIN TEMPLETON  MUTUAL FUND","Franklin India Dividend Yield Fund-Growth","Equity","Dividend Yield Fund","0","218.3930","137.36","29998.54","23-Jan-2026","138.6989","30,290.87","0.00","292.33","0.97","Silver"
"HDFC ASSET MANAGEMENT COMPANY LIMITED","HDFC Small Cap Fund - Regular Plan - Growth Option","Equity","Small Cap Fund","4","209.7790","114.40","23998.74","23-Jan-2026","130.313","27,336.93","0.00","3338.19","13.91","Gold"
"MAHINDRA ASSET MANAGEMENT COMPANY PRIVATE LIMITED","Mahindra Manulife Small Cap Fund - Regular - Growth","Equity","Small Cap Fund","0","1506.7760","16.59","24998.76","23-Jan-2026","17.9701","27,076.92","0.00","2078.16","8.31","N/A"
"HDFC ASSET MANAGEMENT COMPANY LIMITED","HDFC Mid Cap Fund - Growth Option","Equity","Mid Cap Fund","5","134.4280","179.27","24098.77","23-Jan-2026","196.667","26,437.55","0.00","2338.78","9.70","Gold"
"INVESCO MUTUAL FUND","Invesco India Large and Mid Cap Fund - Growth","Equity","Large And Mid Cap Fund","4","266.3530","101.36","26998.77","23-Jan-2026","93.62","24,935.97","0.00","-2062.80","7.64","Silver"
"MIRAE ASSET GLOBAL INVESTMENT MGMT INDIA P LTD","Mirae Asset Large Cap Fund - Regular - Growth","Equity","Large Cap Fund","3","208.9660","106.69","22293.89","23-Jan-2026","112.309","23,468.76","399.74","1174.87","5.27","Silver"
"BANK OF INDIA INVESTMENT MANAGERS PVT LTD","Bank Of India Flexi Cap Fund Regular Plan - Growth","Equity","Flexi Cap","0","661.6570","34.76","22998.84","23-Jan-2026","33.75","22,330.92","0.00","-667.92","2.90","N/A"
"ICICI PRUDENTIAL MUTUAL FUND","ICICI Prudential Large and Mid Cap Fund - Growth","Equity","Large And Mid Cap Fund","5","21.3900","701.23","14999.23","23-Jan-2026","1,004.57","21,487.75","0.00","6488.52","43.26","Gold"
"ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LTD","ADITYA BIRLA SUN LIFE PSU EQUITY FUND REGULAR-GROWTH","Equity","Sectoral or Thematic Fund","0","626.0310","31.95","19998.98","23-Jan-2026","34.19","21,404.00","0.00","1405.02","7.03","N/A"
"QUANTUM ASSET MANAGEMENT COMPANY PVT LTD","Quantum Small Cap Fund- Regular Plan Growth","Equity","Small Cap Fund","0","1548.7110","10.33","15999.19","23-Jan-2026","12.02","18,615.51","0.00","2616.32","16.35","N/A"
